label,player_level,low_tier,delta,stage_a,stage_b,rate_a,rate_b,decay_a,value_a,value_b,kill_a,kill_b,ratio,break_even,multiplier,gold_ratio,exp_ratio
grid,10,1,7,151,158,0.001,0.0007692307692307692,1,0.23924822603516308,0.23963660637809886,22.96875230763849,2.8755810017481136,0.5867995859785814,2.215407152736899,1.3,1.2473464939939636,1.1171520787959404
grid,10,1,15,143,158,0.001,0.0007692307692307692,1,0.23878168134470884,0.23963660637809886,19.87409446074667,2.8755810017481136,0.6724807567440787,1.9331408177300933,1.3,1.4322699943973118,1.0971091707925538
grid,10,1,22,136,158,0.001,0.0007692307692307692,1,0.23835152299123236,0.23963660637809886,17.243635290888633,2.8755810017481136,0.768056288884845,1.69258427906045,1.3,1.6084340790443485,1.0911418152007544
grid,10,1,29,129,158,0.001,0.0007692307692307692,1,0.2378986289787751,0.23963660637809886,15.618939921270442,2.8755810017481136,0.841540692988063,1.5447856661382389,1.3,1.7656772854666078,1.0441119110885302
grid,10,1,36,122,158,0.001,0.0007692307692307692,1,0.23256075524607872,0.23963660637809886,13.452679428446178,2.8755810017481136,0.9459638916072916,1.374259643030522,1.3,1.9920202645631861,1.0421539583400934
grid,10,1,73,85,158,0.000944,0.0007692307692307692,0.944,0.17005653289180575,0.23963660637809886,5.528144870512517,2.8755810017481136,1.4456462403192774,0.8992518112265758,1.3,4.32532923670585,1.1063899206190542
grid,10,1,157,1,158,0,0.0007692307692307692,0,0.028155055114537374,0.23963660637809886,1.1072050892385117,2.8755810017481136,0,inf,1.3,12.086200748013958,0.6270015210185107
grid,10,2,7,151,158,0.001,0.0008333333333333334,1,0.23924822603516308,0.23963660637809886,22.96875230763849,3.675581001748114,0.5914534922496961,2.0289000161882407,1.2,1.3167215112712398,1.098171027233078
grid,10,2,15,143,158,0.001,0.0008333333333333334,1,0.23878168134470884,0.23963660637809886,19.87409446074667,3.675581001748114,0.6778142001987055,1.7703966657060481,1.2,1.5119301017415658,1.0784686596784832
grid,10,2,22,136,158,0.001,0.0008333333333333334,1,0.23835152299123236,0.23963660637809886,17.243635290888633,3.675581001748114,0.7741477416820539,1.5500917142671788,1.2,1.6978920945679818,1.072602692864749
grid,10,2,29,129,158,0.001,0.0008333333333333334,1,0.2378986289787751,0.23963660637809886,15.618939921270442,3.675581001748114,0.848214950438269,1.414735733412816,1.2,1.8638808662480142,1.0263718536711637
grid,10,2,36,122,158,0.001,0.0008333333333333334,1,0.23256075524607872,0.23963660637809886,13.452679428446178,3.675581001748114,0.9534663292241441,1.258565681051858,1.2,2.1028126072972846,1.0244471676576516
grid,10,2,73,85,158,0.000944,0.0008333333333333334,0.944,0.17005653289180575,0.23963660637809886,5.528144870512517,3.675581001748114,1.4571116575833598,0.823547045111297,1.2,4.5658957448663555,1.0875917242673672
grid,10,2,157,1,158,0,0.0008333333333333334,0,0.028155055114537374,0.23963660637809886,1.1072050892385117,3.675581001748114,0,inf,1.2,12.75841202992113,0.6163484072425667
grid,10,3,7,151,158,0.001,0.0009259259259259259,1,0.23924822603516308,0.23963660637809886,22.96875230763849,5.086050892385116,0.5904708270580501,1.829048871696118,1.08,1.2464969692457055,1.0292063864586765
grid,10,3,15,143,158,0.001,0.0009259259259259259,1,0.23878168134470884,0.23963660637809886,19.87409446074667,5.086050892385116,0.6766880517700182,1.596008673679158,1.08,1.4312945246202398,1.0107413186207128
grid,10,3,22,136,158,0.001,0.0009259259259259259,1,0.23835152299123236,0.23963660637809886,17.243635290888633,5.086050892385116,0.77286154073995,1.3974042478113105,1.08,1.6073386299749288,1.0052437318535026
grid,10,3,29,129,158,0.001,0.0009259259259259259,1,0.2378986289787751,0.23963660637809886,15.618939921270442,5.086050892385116,0.846805691185003,1.2753811308101504,1.08,1.7644747434635129,0.9619161683233793
grid,10,3,36,122,158,0.001,0.0009259259259259259,1,0.23256075524607872,0.23963660637809886,13.452679428446178,5.086050892385116,0.9518822009952767,1.1345941744375145,1.08,1.9906635681505003,0.9601123517156644
grid,10,3,73,85,158,0.000944,0.0009259259259259259,0.944,0.17005653289180575,0.23963660637809886,5.528144870512517,5.086050892385116,1.4546907522628039,0.7424258374641044,1.08,4.322383403893044,1.0192914589049742
grid,10,3,157,1,158,0,0.0009259259259259259,0,0.028155055114537374,0.23963660637809886,1.1072050892385117,5.086050892385116,0,inf,1.08,12.077969252838166,0.5776420077444341
grid,10,4,7,151,158,0.001,0.0009400000000000001,1,0.23924822603516308,0.23963660637809886,22.96875230763849,8.849375881194616,0.7374431935222894,1.4425921841556568,1.0638297872340425,1.1678940426883504,1.0239459609240913
grid,10,4,15,143,158,0.001,0.0009400000000000001,1,0.23878168134470884,0.23963660637809886,19.87409446074667,8.849375881194616,0.8451204954560764,1.258790661158842,1.0638297872340425,1.341038438022012,1.0055752707693897
grid,10,4,22,136,158,0.001,0.0009400000000000001,1,0.23835152299123236,0.23963660637809886,17.243635290888633,8.849375881194616,0.9652322462626824,1.1021490334094446,1.0638297872340425,1.5059813676615095,1.000105782978429
grid,10,4,29,129,158,0.001,0.0009400000000000001,1,0.2378986289787751,0.23963660637809886,15.618939921270442,8.849375881194616,1.0575816189119287,1.005907977417896,1.0638297872340425,1.6532086256191207,0.9569996730115017
