label,player_level,low_tier,delta,stage_a,stage_b,rate_a,rate_b,decay_a,value_a,value_b,kill_a,kill_b,ratio,break_even,multiplier,gold_ratio,exp_ratio
grid,10,1,7,151,158,0.001,0.0007692307692307692,1,0.36732807993950545,0.36792437696548996,22.96875230763849,2.8755810017481136,0.5867995859785814,2.2154071527368986,1.3,1.2473464939939636,1.1171520787959404
grid,10,1,15,143,158,0.001,0.0007692307692307692,1,0.36661177383270344,0.36792437696548996,19.87409446074667,2.8755810017481136,0.6724807567440786,1.9331408177300933,1.3,1.4322699943973118,1.0971091707925538
grid,10,1,22,136,158,0.001,0.0007692307692307692,1,0.3659513332322819,0.36792437696548996,17.243635290888633,2.8755810017481136,0.7680562888848451,1.6925842790604497,1.3,1.6084340790443485,1.0911418152007544
grid,10,1,29,129,158,0.001,0.0007692307692307692,1,0.3652559855978648,0.36792437696548996,15.618939921270442,2.8755810017481136,0.841540692988063,1.5447856661382389,1.3,1.7656772854666078,1.0441119110885302
grid,10,1,36,122,158,0.001,0.0007692307692307692,1,0.35706051873198846,0.36792437696548996,13.452679428446178,2.8755810017481136,0.9459638916072914,1.374259643030522,1.3,1.9920202645631861,1.0421539583400934
grid,10,1,73,85,158,0.000944,0.0007692307692307692,0.944,0.26109510086455334,0.36792437696548996,5.528144870512517,2.8755810017481136,1.4456462403192776,0.8992518112265758,1.3,4.32532923670585,1.1063899206190542
grid,10,1,157,1,158,0,0.0007692307692307692,0,0.043227665706051875,0.36792437696548996,1.1072050892385117,2.8755810017481136,0,inf,1.3,12.086200748013958,0.6270015210185107
grid,10,2,7,151,158,0.001,0.0008333333333333334,1,0.36732807993950545,0.36792437696548996,22.96875230763849,3.675581001748114,0.5914534922496961,2.0289000161882407,1.2,1.3167215112712398,1.098171027233078
grid,10,2,15,143,158,0.001,0.0008333333333333334,1,0.36661177383270344,0.36792437696548996,19.87409446074667,3.675581001748114,0.6778142001987054,1.7703966657060481,1.2,1.5119301017415658,1.0784686596784832
grid,10,2,22,136,158,0.001,0.0008333333333333334,1,0.3659513332322819,0.36792437696548996,17.243635290888633,3.675581001748114,0.774147741682054,1.5500917142671784,1.2,1.6978920945679818,1.072602692864749
grid,10,2,29,129,158,0.001,0.0008333333333333334,1,0.3652559855978648,0.36792437696548996,15.618939921270442,3.675581001748114,0.848214950438269,1.414735733412816,1.2,1.8638808662480142,1.0263718536711637
grid,10,2,36,122,158,0.001,0.0008333333333333334,1,0.35706051873198846,0.36792437696548996,13.452679428446178,3.675581001748114,0.953466329224144,1.2585656810518577,1.2,2.1028126072972846,1.0244471676576516
grid,10,2,73,85,158,0.000944,0.0008333333333333334,0.944,0.26109510086455334,0.36792437696548996,5.528144870512517,3.675581001748114,1.45711165758336,0.823547045111297,1.2,4.5658957448663555,1.0875917242673672
grid,10,2,157,1,158,0,0.0008333333333333334,0,0.043227665706051875,0.36792437696548996,1.1072050892385117,3.675581001748114,0,inf,1.2,12.75841202992113,0.6163484072425667
grid,10,3,7,151,158,0.001,0.0009259259259259259,1,0.36732807993950545,0.36792437696548996,22.96875230763849,5.086050892385116,0.5904708270580502,1.8290488716961175,1.08,1.2464969692457055,1.0292063864586765
grid,10,3,15,143,158,0.001,0.0009259259259259259,1,0.36661177383270344,0.36792437696548996,19.87409446074667,5.086050892385116,0.6766880517700181,1.5960086736791583,1.08,1.4312945246202398,1.0107413186207128
grid,10,3,22,136,158,0.001,0.0009259259259259259,1,0.3659513332322819,0.36792437696548996,17.243635290888633,5.086050892385116,0.77286154073995,1.3974042478113102,1.08,1.6073386299749288,1.0052437318535026
grid,10,3,29,129,158,0.001,0.0009259259259259259,1,0.3652559855978648,0.36792437696548996,15.618939921270442,5.086050892385116,0.8468056911850029,1.2753811308101504,1.08,1.7644747434635129,0.9619161683233793
grid,10,3,36,122,158,0.001,0.0009259259259259259,1,0.35706051873198846,0.36792437696548996,13.452679428446178,5.086050892385116,0.9518822009952765,1.1345941744375143,1.08,1.9906635681505003,0.9601123517156644
