profile,segment,required,level,weapon_grade,enhance,gems,gloves,milestone,attack_sum,armor,block_index,skip_index
casual,1 ~ 100,85,67.10194529803505,0,40.66448992147538,0,37.84505178522074,0,145.61148700473117,135.4424485556803,0,0.7130763177027197
casual,101 ~ 500,385,357,112.58007865577434,9.885238424326056,13.593207787473963,0,0,493.05852486757436,386.7895587709616,0,0.2806714931625308
casual,501 ~ 1000,485,510,0,0,0.05913634560760372,0,0,510.0591363456076,487.99928563034496,0,0.05166832236207755
casual,1001 ~ 20000,18975,18993,0,0,0.2528330408087684,0,0,18993.25283304081,18974.999999968837,0,0.0009619411352205265
casual,20001 ~ 21230,1215,813.5842169774596,0,0,1.3480080588994674,36.99241849033091,0,851.92464352669,1269.2900393278871,0.29882745388749793,0
normal,1 ~ 100,90,70.10194529803506,0,45.61927005517412,0,48.59832359686092,0,164.3195389500701,145.53818153876423,0,0.8257726550007789
normal,101 ~ 500,390,376,112.58007865577434,14.722478916824029,28.399526591166442,0,0,531.7020841637648,393.8218854750854,0,0.3633386773429866
normal,501 ~ 1000,490,502,0,4.863441110262225,0.2740422232031705,0,0,507.1374833334654,489.9992679185088,0,0.03497445578258247
normal,1001 ~ 20000,18990,18995.000000000004,0,14.470171153386259,1.1289550568999114,0,0,19010.599126210287,18986.99999996258,0,0.0010847354507786766
normal,20001 ~ 21230,1225,796.5792664015239,0,0,1.6367428067819723,26.239146678690727,0,824.4551558869966,1250.5266928852582,0.3269753829493905,0
top,1 ~ 100,85,53.10194529803504,0,40.66448992147538,0,53.494837860160295,0,147.2612730796707,139.61408639177287,0,0.7324855656431847
top,101 ~ 500,390,339,112.58007865577434,9.885238424326056,30.193667441208014,0,0,491.6589845213084,395.6809380694489,0,0.26066406287514976
top,501 ~ 1000,490,510,0,9.792020626196711,0.28759102429546124,0,0,520.0796116504922,489.9992497693862,0,0.06138696255202492
top,1001 ~ 20000,18995,19004,0,14.52946543202114,1.1709813082505307,0,0,19019.70044674027,18996.999999960884,0,0.0013003657141494815
top,20001 ~ 21230,1220,826.544612369974,0,33.26767892662852,1.7333760663123163,13.84786385112884,0,875.3935312140436,1234.7633464426292,0.28246431867701344,0
