profile,segment,required,level,weapon_grade,enhance,gems,gloves,milestone,attack_sum,armor,block_index,skip_index
casual,1 ~ 100,75,62.101945298035055,18.763346442629057,40.66448992147538,3.5294189676749834,27.906997958768443,0,152.96619858858293,96.2355382680393,0,1.039549314514439
casual,101 ~ 500,370,347,93.81673221314529,9.885238424326056,6.5040380355558,0,2.607898052083284,459.8139067251105,372.21495235062497,0,0.24274028844624454
casual,501 ~ 1000,490,522,0,0,0.05292168920026203,0,0.5247868180410097,522.5777085072413,486.999241906499,0,0.06648511940253317
casual,1001 ~ 2000,975,761,0,0,0.05179236464458206,0,0.9404061299277423,761.9921984945723,974.999999966266,0.21846954000556684,0
casual,2001 ~ 10000,7990,7886.249200000001,0,0,0.12142383502258422,0,5.926908999947954,7892.297532834971,7987,0.012228093512519248,0
casual,10001 ~ 17000,6995,6999.188700000001,0,0,0.039849852979449596,0,0,6999.22854985298,6995,0,0.0006045103435282338
casual,17001 ~ 25300,5830,5830.387500000001,0,0,0.02212228698111027,0,0,5830.409622286982,5832,0,0.0000702611126898945
normal,1 ~ 100,80,61.10194529803504,18.763346442629057,45.61927005517412,10.915969668416903,48.59832359686092,0,184.99885506111605,146.4826816281646,0,1.3124856882639506
normal,101 ~ 500,390,379.00000000000006,93.81673221314529,14.722478916824029,10.199767325143068,0,2.655831942527981,500.39481039764036,392.8637194069455,0,0.283063616404206
normal,501 ~ 1000,490,508,0,19.333612263648483,0.23083569032784423,0,0.47685292759631925,528.0413008815725,489.9992679185088,0,0.07763530792157655
normal,1001 ~ 2000,990,762.75,0,0,0.22429625905460884,0,0.9404061299277423,763.9147023889824,988.9999999625801,0.22836898748587636,0
normal,2001 ~ 10000,7995,7853.65,0,0,0.5108128357265453,0,5.926908999947954,7860.0877218356745,7998,0.016874581383905626,0
normal,10001 ~ 17000,6995,6999.0661,0,0,0.1660894880330052,0,0,6999.232189488033,6999,0,0.0006050306630497966
normal,17001 ~ 25300,8295,8279.266800000001,0,0,0.12389408927703852,12.391282827561897,0,8291.78197691684,8296,0.00038794732768655885,0
top,1 ~ 100,70,36.87331187519549,18.763346442629057,40.66448992147538,11.88822526495151,53.494837860160295,0,161.68421136441174,139.61408639177287,0,1.309774448063025
top,101 ~ 500,395,349.8698514532817,93.81673221314529,29.383586970668322,10.613891613481213,0,2.607898052083284,486.29196030265973,400.6808535438004,0,0.23111888684217655
top,501 ~ 1000,490,520,0,14.413156224581687,0.24156085997581822,0,0.47730364595590036,535.1320207305134,489.9993204925427,0,0.09210616475614986
top,1001 ~ 2000,985,773,0,23.677660213922415,0.23477185744476886,0,0.9412826076183667,797.8537146789856,988.9999999645728,0.18999622875229885,0
top,2001 ~ 10000,7995,7855.762500000002,0,0,0.5312211147050055,0,5.97351569434245,7862.267236809049,7985.236653557371,0.01660197163113835,0
top,10001 ~ 17000,6995,6999.7148000000025,0,0,0.17221693498520427,0,0,6999.8870169349875,7005.76334644263,0,0.0006986443080754131
top,17001 ~ 25300,8290,8294.288100000002,0,0,0.1283167297317225,0,0,8294.416416729733,8298.763346442629,0,0.0005327402569038722
