stage,profile,gold_per_min,attempt_cost,power,vs_stage100
10,casual,202.42837547020991,20281,0.009981183150249491,0.8532642719887078
10,normal,416.2029069422035,20281,0.02052181386234424,0.553520238534122
10,top,736.1701864021917,20383,0.03611687123594131,0.7131163338019636
50,casual,260.8808144375484,21321,0.012235862034498775,1.0460106536327707
50,normal,513.9684213311311,21003,0.024471190845647344,0.6600439651658276
50,top,994.6668115668509,21214,0.04688728252884185,0.9257747383619155
100,casual,260.880894611992,22302,0.01169764570944274,1
100,normal,826.8487056048043,22302,0.03707509217132115,1
100,top,1123.8466078216352,22190,0.05064653482747342,1
500,casual,356.05569011875866,33264,0.010703934888130071,0.9150503574825735
500,normal,1206.9400233225128,32933,0.03664834735136528,0.9884897165465183
500,top,1841.1382369017688,32933,0.05590557303925451,1.1038380657175444
1000,casual,667.1871062126994,55104,0.012107779947239754,1.0350612634357648
1000,normal,2112.5443844117876,54284,0.038916520234540335,1.0496675248900282
1000,top,4221.045728855239,54284,0.07775856106505119,1.535318483879192
2000,casual,1215.6128826681816,148967,0.00816028303361269,0.6976004604948353
2000,normal,5332.603510379853,148224,0.03597665364839603,0.9703726016957875
2000,top,9592.868362607378,148224,0.0647187254601642,1.2778510056142531
5000,casual,13365.76310780017,2957898,0.004518669375279395,0.38628878729262334
5000,normal,45526.02009768364,2957898,0.01539134212798536,0.41513968615002095
5000,top,204347.4922335707,2957898,0.06908537489581139,1.3640691338736117
10000,casual,2331246.867888957,437895731,0.0053237487896153,0.45511284251990874
10000,normal,8335375.07986614,437895731,0.019035068144718087,0.5134193074088259
10000,top,18339604.792857572,437895731,0.04188121393870719,0.8269314787551576
20000,casual,50295579619.222496,9597221197155,0.005240639825424897,0.44800808261738284
20000,normal,193572293184.10217,9597221197155,0.020169618810232774,0.5440207327612435
20000,top,402744625532.8463,9645303371373,0.04175551665157381,0.8244496251088703
