profile,segment,power,vs_501_1000
casual,1 ~ 100,0.0003417258936876553,0.982535126479777
casual,101 ~ 500,0.0003414210704159196,0.9816586942942706
casual,501 ~ 1000,0.00034780017983885165,1
casual,1001 ~ 20000,0.0003564845562300002,1.0249694419225786
casual,20001 ~ 21230,0.00014046215915061697,0.4038587881573211
normal,1 ~ 100,0.0011749426054237927,0.9667076324954964
normal,101 ~ 500,0.0012059438572217707,0.9922145352085957
normal,501 ~ 1000,0.001215406360649859,1
normal,1001 ~ 20000,0.0012268768675775456,1.009437590010269
normal,20001 ~ 21230,0.0005213531717683055,0.4289537957408303
top,1 ~ 100,0.0024046698336366895,0.9173974653693122
top,101 ~ 500,0.0025182875948585232,0.9607433936576089
top,501 ~ 1000,0.0026211864806805992,1
top,1001 ~ 20000,0.00263644765516205,1.0058222391248899
top,20001 ~ 21230,0.00112191366244296,0.428017491587112
